	.ABS	noun
ne-ž	RELAT.SG-ERG	noun
o-m	TR.PFV-3A.SG	verb
ne-e	RELAT.SG-DIR/LOC	noun
u	MED	verb
ar-ill-ō-m	ITER-INGR-TR.PFV-3A.SG	verb
i-l-ānni	MOD.ACT-l-DESID	verb
ōr-o-m	ōr-TR.PFV-3A.SG	verb
ār-a	ITER-3A.SG	verb
=ma	=CON	CONJ
		CONJ
