nāli	noun	Rehbock	deer
mel+aḫḫ	verb	vertreiben	drive away
paba+ni	noun	Berg	mountain
fūr	verb	sehen	see
šid	verb	verfluchen	curse
id	verb	schlagen	strike
am	verb	verbrennen	burn
tāri	noun	Feuer	fire
kul	verb	sprechen	speak
am	verb	ansehen	look at
ai	CONJ	falls; wenn	in case; if
